order_id,customer_id,country,order_date,amount,status
1001,C-001,USA,2026-01-01,120.5,PAID
1002,C-002,USA,2026-01-01,89.99,SHIPPED
1004,C-004,UK,2026-01-02,145.0,PAID
1006,C-006,GHANA,2026-01-03,210.1,PAID
1009,C-009,UK,2026-01-04,99.0,SHIPPED
1010,C-010,USA,2026-01-05,134.45,PAID
1011,C-011,UK,2026-01-05,75.0,SHIPPED
1012,C-012,GHANA,2026-01-05,250.6,PAID
1013,C-013,USA,2026-01-05,49.99,PAID
1014,C-014,USA,2026-01-06,180.25,PAID
1015,C-015,UK,2026-01-06,92.1,SHIPPED
1016,C-016,GHANA,2026-01-06,300.0,PAID
1019,C-019,UK,2026-01-07,115.0,SHIPPED
1020,C-020,GHANA,2026-01-07,88.8,PAID
1021,C-021,USA,2026-01-07,102.0,PAID
1022,C-022,UK,2026-01-07,79.25,SHIPPED
1023,C-023,USA,2026-01-08,54.9,PAID
1024,C-024,USA,2026-01-08,99.99,SHIPPED
1025,C-025,UK,2026-01-08,220.0,PAID
1026,C-026,GHANA,2026-01-08,175.5,PAID
1027,C-027,UNKNOWN,2026-01-08,64.0,PAID
1029,C-029,USA,2026-01-09,130.3,SHIPPED
1030,C-030,UK,2026-01-09,140.0,PAID
1031,C-031,GHANA,2026-01-09,245.75,PAID
1032,C-032,USA,2026-01-09,58.4,SHIPPED
1033,C-033,USA,2026-01-10,76.66,PAID
1034,C-034,UK,2026-01-10,188.0,PAID
1035,C-035,GHANA,2026-01-10,44.5,SHIPPED
1037,C-037,USA,2026-01-11,500.0,PAID
1038,C-038,UK,2026-01-11,210.0,SHIPPED
1039,C-039,GHANA,2026-01-11,95.2,PAID
1041,C-041,USA,2026-01-12,111.11,PAID
1042,C-042,UK,2026-01-12,89.1,SHIPPED
1043,C-043,GHANA,2026-01-12,133.0,PAID
1044,C-044,USA,2026-01-12,145.67,PAID
1045,C-045,UK,2026-01-12,299.99,SHIPPED
1046,C-046,USA,2026-01-13,80.0,PAID
1047,C-047,GHANA,2026-01-13,170.45,SHIPPED
1048,C-048,USA,2026-01-13,66.6,PAID
1050,C-050,UK,2026-01-14,120.0,PAID
1051,C-051,GHANA,2026-01-14,140.4,SHIPPED
1052,C-052,USA,2026-01-14,98.76,PAID
1053,C-053,UK,2026-01-14,130.0,SHIPPED
1055,C-055,USA,2026-01-15,75.25,PAID
1056,C-056,UK,2026-01-15,200.0,SHIPPED
1057,C-057,GHANA,2026-01-15,159.95,PAID
1058,C-058,USA,2026-01-15,49.49,SHIPPED
1059,C-059,UK,2026-01-15,88.88,PAID
1060,C-060,USA,2026-01-15,123.45,PAID
1061,C-061,USA,2026-01-15,70.7,SHIPPED
1062,C-062,GHANA,2026-01-16,310.0,PAID
1063,C-063,UK,2026-01-16,90.0,SHIPPED
1064,C-064,USA,2026-01-16,105.0,PAID
1065,C-065,GHANA,2026-01-16,77.77,SHIPPED
1066,C-066,USA,2026-01-17,82.1,PAID
1067,C-067,UK,2026-01-17,61.0,SHIPPED
1068,C-068,GHANA,2026-01-17,205.55,PAID
1069,C-069,USA,2026-01-17,145.0,SHIPPED
1070,C-070,UK,2026-01-17,199.99,PAID
